Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PTT.BK,PTT.BK,PTT.BK,PTT.BK,PTT.BK,PTT.BK
Date,,,,,,
2024-05-02,31.116962432861328,33.25,33.75,33.25,33.5,39656500
2024-05-03,31.584888458251953,33.75,33.75,33.25,33.25,32885000
2024-05-07,31.584888458251953,33.75,33.75,33.75,33.75,0
2024-05-08,31.584888458251953,33.75,34.0,33.5,33.75,63054700
2024-05-09,31.584888458251953,33.75,34.0,33.5,33.75,20770900
2024-05-10,31.584888458251953,33.75,33.75,33.5,33.75,11790800
2024-05-13,31.584888458251953,33.75,33.75,33.5,33.75,4738100
2024-05-14,31.818849563598633,34.0,34.0,33.5,33.5,16463600
2024-05-15,31.818849563598633,34.0,34.0,34.0,34.0,0
2024-05-16,31.818849563598633,34.0,34.0,34.0,34.0,0
2024-05-17,31.584888458251953,33.75,34.0,33.75,34.0,10665700
2024-05-20,31.584888458251953,33.75,33.75,33.75,33.75,0
2024-05-21,31.584888458251953,33.75,33.75,33.75,33.75,0
2024-05-23,31.350923538208008,33.5,33.75,33.5,33.5,35105600
2024-05-24,31.350923538208008,33.5,33.5,33.5,33.5,0
2024-05-27,31.350923538208008,33.5,33.75,33.0,33.75,55968100
2024-05-28,30.88300132751465,33.0,33.5,33.0,33.5,66022900
2024-05-29,30.649038314819336,32.75,33.25,32.5,33.0,83231800
2024-05-30,30.649038314819336,32.75,32.75,32.75,32.75,0
2024-05-31,30.649038314819336,32.75,32.75,32.75,32.75,0
2024-06-04,30.415075302124023,32.5,33.25,32.5,32.75,35393400
2024-06-05,30.649038314819336,32.75,33.0,32.5,32.75,19277800
2024-06-06,29.94715118408203,32.0,32.75,31.75,32.75,63670200
2024-06-07,29.94715118408203,32.0,32.0,32.0,32.0,0
2024-06-10,30.181114196777344,32.25,32.25,31.75,32.0,23058700
2024-06-11,29.94715118408203,32.0,32.5,32.0,32.0,24149300
2024-06-12,29.94715118408203,32.0,32.25,32.0,32.0,29755300
